energy_100g,sugars_100g,fat_100g,proteins_100g,salt_100g,fiber_100g,carbohydrates_100g,label
1427.5,4.3,10.2,7.5,1.8,1.0,53.8,Unhealthy
256.5,4.0,0.5,10.0,0.14,0.0,4.0,Healthy
1631.9,0.7,3.5,7.6,0.11,4.2,78.8,Healthy
1635.0,2.5,39.0,8.5,1.23,0.1,3.0,Unhealthy
134.0,1.9,0.6,0.6,0.67,0.9,5.6,Moderate
123.6,0.0,1.6,2.8,0.0,0.4,0.8,Healthy
174.0,3.3,2.4,0.9,0.62,1.2,3.5,Healthy
1501.0,0.2,0.8,8.1,0.01,0.9,78.0,Healthy
444.5,7.5,3.0,3.5,0.0,0.0,16.0,Moderate
1521.0,3.5,2.0,13.0,0.01,3.0,71.0,Healthy
1521.0,3.5,2.0,13.0,0.01,3.0,71.0,Healthy
1822.0,14.0,14.0,10.0,0.5,10.0,62.0,Moderate
1859.0,22.0,16.0,9.6,0.05,6.1,63.0,Moderate
1607.7,13.0,1.6,8.5,0.76,5.5,80.0,Moderate
930.5,4.0,1.75,10.0,0.8875,6.75,37.75,Healthy
1055.625,3.5,0.625,9.125,0.859375,2.625,50.375,Moderate
1805.0,16.0,14.0,11.0,0.08,11.0,61.0,Moderate
286.0,1.9,3.1,3.5,0.6,1.6,5.8,Healthy
65.0,2.1,0.0,0.0,0.0,0.0,3.0,Unhealthy
1528.4,1.6,2.0,12.0,0.02,3.3,72.0,Healthy
117.9,2.8,0.7,0.6,0.67,1.3,4.2,Healthy
624.0,1.0,1.7,11.0,0.01,5.2,19.0,Healthy
1024.0,59.0,0.1,0.3,0.0,1.5,59.0,Unhealthy
931.666666666667,4.33333333333333,20.6666666666667,5.33333333333333,0.7375,0.333333333333333,4.33333333333333,Unhealthy
930.208333333333,2.08333333333333,1.25,11.6666666666667,1.60416666666667,6.45833333333333,37.2916666666667,Healthy
1890.0,12.0,17.6,26.9,0.61,6.8,40.7,Moderate
2145.0,0.5,25.0,8.0,1.1,6.2,63.6,Unhealthy
549.0,3.1,10.0,5.9,0.14,0.0,4.6,Moderate
1301.0,3.3,19.0,6.7,0.95,6.2,26.0,Moderate
384.0,2.1,3.9,4.6,0.8,5.7,6.8,Healthy
1487.0,15.0,5.2,11.0,0.03,11.0,60.0,Healthy
1169.0,2.8,17.0,19.0,1.1,3.8,11.0,Healthy
246.3,0.0,3.5,0.7,0.12,1.0,5.7,Moderate
2244.9,55.0,31.0,6.5,0.275,2.3,57.0,Unhealthy
715.0,0.5,1.6,5.8,1.3,3.8,31.0,Moderate
307.0,3.3,3.2,7.2,0.09,0.0,3.9,Healthy
333.0,1.9,2.6,6.9,0.19,1.6,6.2,Healthy
58.0,0.7,0.5,0.6,2.3,0.5,2.0,Moderate
2480.0,6.66666666666667,53.3333333333333,0.0,1.0,6.66666666666667,26.6666666666667,Moderate
1564.0,1.6,6.2,11.0,1.3,14.0,61.0,Healthy
621.0,3.0,3.3,4.0,0.66,2.8,24.0,Moderate
1646.25,1.0,8.25,11.0,0.0125,8.25,64.0,Healthy
1909.0,21.8,18.0,9.4,0.03,5.5,61.1,Moderate
1968.0,13.0,17.0,9.3,0.01,9.5,65.0,Moderate
969.9,1.9,19.0,4.1,1.0,3.4,10.0,Unhealthy
316.0,3.9,3.2,7.7,0.09,0.0,3.9,Healthy
243.8,10.0,0.5,0.5,0.01,1.6,12.0,Healthy
